#Wed Jun 24 17:06:50 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               3               0
             105          -25.46           8.087
             106           19.75           7.275
             107           68.79           15.78
             108          -42.28           10.16
             109          -4.337           7.065
             110           22.11           8.667
             111           87.76            19.5
             112          -51.23           15.01
             113          -40.25           9.426
             114            18.8           6.808
             115           35.78           10.39
             116          -47.72           14.28
             117          -21.59           8.043
             118           15.12            6.49
             119           44.97           13.41
             120          -48.42           11.49
             121          -25.35           6.799
             122           15.63            7.44
             123           78.26           16.48
             124          -36.51           9.589
             125           4.621           7.432
             126            7.48               8
             127           98.53            20.2
APV                2              13               3               8
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7            34.3           12.92
               8          -32.07            19.1
               9          -40.51           7.936
              10          -22.03           6.901
              11           39.27           13.28
              12          -26.74           16.07
              13          -19.23           5.927
              14           21.15           8.462
              15           67.29           16.02
              16          -11.65           16.77
              17          -36.93           11.53
              18          -21.21           12.52
              19          -2.738           12.66
              20          -14.66           17.56
              21          -37.36            8.31
              22          -13.58            9.32
              23           42.05           13.81
              24          -15.62           17.81
              25          -34.28           6.373
              26           2.527           9.928
              27            61.7           15.42
              28          -32.15           14.57
              29          -34.06           6.731
              30          -13.31            11.6
              31            69.2           17.43
              32          -14.85            18.7
              33          -27.52           10.77
              34           -18.1           6.385
              35           28.37           9.888
              36          -22.67           18.62
              37          -33.35           7.747
              38          -5.976           6.849
              39            50.1           12.85
              40          -25.16            17.4
              41          -26.91           6.786
              42          -13.45           7.862
              43           47.98            14.9
              44          -27.98            11.6
              45          -17.16            6.91
              46           10.65           9.622
              47           73.66           17.74
              48           -13.3            18.8
              49          -49.47           10.18
              50          -24.83           10.64
              51           19.93           13.03
              52          -22.67           18.25
              53          -37.48           7.419
              54          -20.91           9.484
              55           37.47           14.58
              56          -25.98           16.41
              57          -26.19           5.933
              58          -5.477            10.9
              59           56.92           16.32
              60          -14.48           12.11
              61          -41.49           8.355
              62           2.001           12.38
              63           97.88           18.95
              64          -7.452           15.75
              65           -29.3           13.39
              66          -13.32           8.537
              67           6.269           8.511
              68          -22.77           18.28
              69          -9.915           9.515
              70            2.81           6.527
              71           38.98            11.6
              72          -19.12           17.78
              73          -32.53           7.807
              74          -16.56           6.815
              75            64.1           13.75
              76          -26.59           14.45
              77          -27.88           6.145
              78           5.189           8.152
              79           112.1           16.09
              80          -5.342           18.05
              81           -48.3           13.05
              82          -22.17           7.809
              83           34.99           11.49
              84          -26.98           18.69
              85          -29.79           9.118
              86           29.14           7.755
              87           40.97           13.26
              88          -17.19           16.98
              89          -32.16           6.192
              90           7.933           9.316
              91           69.02           15.06
              92          -30.13           14.39
              93          -42.45           7.308
              94        -0.06213           10.75
              95           109.9           17.03
              96          -8.818           17.07
              97          -15.82           11.23
              98          -16.89           7.371
              99           22.92           9.982
             100          -17.46           18.51
             101          -33.28           8.214
             102          -2.903            6.61
             103           76.32           12.73
             104          -24.82           16.06
             105          -31.66           7.561
             106           15.13            7.72
             107           50.55           14.88
             108          -30.37           12.86
             109          -18.62           6.709
             110          -3.523           8.596
             111           91.94           17.26
             112          -25.02           18.49
             113          -22.65           11.18
             114           7.488            8.22
             115           33.81           12.32
             116          -25.27           17.88
             117          -25.76           7.372
             118          -7.202           8.573
             119           57.01           14.27
             120          -39.31           15.48
             121          -27.35           5.858
             122           8.675           10.12
             123           60.57           15.81
             124          -28.42           12.53
             125          -30.82           9.727
             126          -10.23            11.7
             127           121.7           18.76
APV                2              13               3               1
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           15.54           8.046
               8          -24.45           7.203
               9          -9.353           5.842
              10           8.035           9.252
              11          -0.143           8.628
              12          -20.74           7.517
              13          -11.02           5.564
              14           14.19           8.504
              15           42.63            8.84
              16          -28.59           8.252
              17          -16.52           7.407
              18          -4.502           13.98
              19          -1.069           5.996
              20          -54.24           8.487
              21          -16.13           6.873
              22           11.71           6.978
              23           6.701            6.02
              24          -39.55           7.423
              25          -8.034           6.231
              26           10.48           5.835
              27           31.48           7.299
              28          -22.98           7.023
              29           11.62           6.867
              30           37.33           6.016
              31           66.09           8.322
              32          -37.72           8.342
              33          -26.04           6.599
              34           -15.2           7.902
              35           5.623           8.065
              36          -38.32           7.956
              37          -11.79           5.921
