#Thu Jun 25 12:06:54 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               5               0
              40          -15.53           3.938
              41          -20.65             3.9
              42           23.51           3.953
              43           33.08           3.896
              44          -9.215            3.85
              45          -16.54            4.14
              46           44.71           3.841
              47           44.76           4.058
              48          -28.07           3.765
              49           -15.1           3.617
              50          0.5145           3.689
              51           9.473           3.581
              52           -21.1           3.713
              53          -23.05           3.543
              54           -3.75           3.538
              55           17.43            3.56
              56          -23.91            3.69
              57          -21.03           3.566
              58           21.01           3.635
              59            35.5           3.672
              60          -25.33           3.498
              61          -27.93           3.564
              62           49.08           3.511
              63              35           4.125
              64          -31.44           3.962
              65           -25.9            3.65
              66          -6.765           3.871
              67           5.421           3.658
              68           -26.1           3.777
              69          -11.68            3.75
              70           8.183           3.889
              71            45.6           3.821
              72         -0.2319           3.721
              73           -20.6           3.745
              74           23.97           3.748
              75           52.46           3.756
              76          -21.36           3.668
              77          -26.77           3.777
              78           39.31           3.719
              79           64.52           3.891
              80          -3.316           3.889
              81          -15.89           3.638
              82          -7.898           3.595
              83           28.81           3.629
              84          -21.12           3.865
              85          -31.05           3.629
              86           15.15           3.578
              87            32.4           3.611
              88          -16.52           3.717
              89           -36.1           3.612
              90           23.26           3.537
              91           46.28           3.718
              92           -16.9           3.595
              93          -22.06            3.67
              94            30.9           3.566
              95           32.01           3.816
              96          -34.67           3.816
              97          -17.33           3.786
              98           8.027           4.116
              99           29.02           3.953
             100          -33.91           3.788
             101          -18.77           3.857
             102           15.77           3.828
             103            20.9           3.778
             104          -29.69           3.831
             105          -28.09           4.205
             106           24.44           3.879
             107           50.57            3.95
             108           3.621           3.709
             109           2.974           4.148
             110           61.82           3.849
             111            46.6           4.038
             112           -24.6           3.744
             113          -31.62           3.534
             114           18.27            3.54
             115           28.15           3.549
             116          -24.64           3.695
             117          -10.52           3.383
             118           14.98           3.425
             119           30.92           3.544
             120          -8.294            3.64
             121          -4.343           3.484
             122           41.85           3.429
             123           36.87            3.72
             124          -7.582           3.467
             125          -22.63           3.455
             126           34.42           3.648
             127           11.07           4.333
APV                2              13               5               4
               0           81.81           30.98
               1          -10.69           23.36
               2          -10.03           19.15
               3          -95.93           19.63
               4          -139.5            10.1
               5          -67.93           6.493
               6          -10.89           5.373
               7          0.9041            3.96
               8          -48.03           3.591
               9           -1.55           3.899
              10           39.12           3.767
              11           33.38           3.759
              12          -25.86           3.775
              13          -1.746           3.651
              14           33.11           3.776
              15           23.22           3.763
              16          -42.43           3.843
              17          -8.681           3.738
              18           24.62           4.099
              19           17.09           3.673
              20          -56.46           3.817
              21          -34.54           3.731
              22            21.1           3.651
              23           13.21           3.493
              24          -46.46           3.738
              25          -3.809           3.801
              26           35.47           3.597
              27           24.49           3.741
              28          -26.81           3.702
              29           2.269           3.883
              30           44.98           3.563
              31           24.39           3.741
              32          -58.23           3.812
              33          -26.47           3.839
              34           14.27            3.84
              35           24.98            3.82
              36          -41.85           3.755
              37           -17.9           3.762
              38           16.83           3.821
              39            21.3           3.787
              40           -37.6           3.831
              41          -4.239           3.921
              42           38.69           4.097
              43            14.9           3.991
              44          -26.03           3.866
              45           13.41           3.957
              46           35.65           3.908
              47           30.36           4.369
              48           -46.3           3.657
              49          -25.21           3.621
              50           17.69           3.924
              51           9.394           3.567
              52          -54.65            3.58
              53          -15.27           3.593
              54           27.65           3.631
              55           14.43           3.545
              56          -34.18           3.613
              57           4.865           3.636
              58            41.5           3.586
              59           17.82           3.665
              60          -32.11           3.485
              61           13.06            3.75
              62           26.68           3.457
              63           11.14           5.497
              64          -54.92           4.455
              65          -15.48            3.67
              66           18.06           3.972
              67         -0.3291           3.676
              68          -54.27           3.645
              69          -6.731           3.763
              70           28.26           4.024
              71           26.87           3.842
              72          -37.87           3.646
              73           10.59           3.698
              74           44.45           3.763
              75           27.84           3.808
              76          -33.97           3.556
              77           16.22           3.689
              78            46.7           3.819
              79           16.39           4.095
              80          -50.82           3.785
              81          -18.87           3.658
              82           21.15            3.71
              83           19.54           3.582
              84          -32.84           3.782
              85          -1.284           3.687
              86           29.85            3.62
              87           19.91           3.582
              88          -27.45           3.637
              89           11.64           3.793
              90           57.88           3.627
              91           42.13           3.726
              92          -20.59            3.57
              93           10.12           3.868
              94           31.98           3.682
              95           20.55           3.907
              96          -41.37           3.678
              97          -11.24           3.804
              98           15.29           4.228
              99            12.1            3.98
             100          -43.12           3.692
             101          -5.328           3.851
             102           14.77           3.974
             103           25.56           3.797
             104          -28.43           3.727
             105           5.584           4.029
             106           32.21           3.946
             107           24.27           4.098
             108          -26.47           3.644
             109           17.79           3.979
             110           42.48           4.084
             111           26.59           4.457
             112          -43.95            3.59
             113          -8.512           3.526
             114           42.03           3.641
             115           23.13           3.551
             116          -44.01           3.574
             117          -17.02            3.44
             118           35.72           3.436
             119           29.43           3.471
             120          -37.33           3.593
             121          -9.137           3.574
             122           34.94           3.418
             123           14.73           3.709
             124          -34.76           3.428
             125           5.812           3.601
             126            44.4           3.533
             127          -2.569            4.57
APV                2              13               5              10
               0           105.9            29.6
               1          -7.303           24.57
               2         -0.6987           21.89
               3          -16.47           23.09
               4          -91.87           9.437
               5          -58.24           7.222
               6          -34.58            8.28
               7           16.61           6.854
               8          -43.46           6.631
               9          -28.98            6.37
              10          -10.85           6.709
              11            17.1           6.748
              12          -31.83           7.001
              13          -29.47           6.332
              14           15.39           6.506
              15           54.11           6.729
              16          -20.06           6.704
              17          -23.13           6.206
              18          -26.67           8.749
              19           27.41           6.171
              20          -27.31           6.593
              21          -31.72           6.201
              22          -19.86           6.349
              23           29.07               6
              24          -34.39           6.418
              25          -35.38           6.287
              26          -5.153           5.979
              27           39.66           6.219
              28          -24.86           6.189
              29           -10.8           6.325
              30           13.05           5.947
              31           51.88           6.492
              32          -22.11            6.78
              33          -22.98           6.624
              34          -4.515           6.577
              35           26.74           6.611
              36          -43.95           6.653
              37          -33.46           6.217
              38           26.78           6.873
              39            48.9           6.779
              40          -27.31           6.771
              41          0.7831           6.255
              42           3.807           7.199
              43           25.68           6.921
              44          -26.77           6.949
              45          -20.56           6.846
              46           38.85           6.454
              47           71.45           7.385
              48          -4.115           6.594
              49          -20.02            6.14
              50          -3.931           7.593
              51           32.23            6.07
              52          -15.01            6.51
              53          -44.82           6.055
              54           -7.03           6.107
              55           47.29           6.001
              56          -48.09           6.257
              57          -15.32           6.237
              58          -4.171           6.138
              59           32.97           6.328
              60           -45.7           5.997
              61          -39.22           6.664
              62            20.3            5.92
              63           85.53           8.299
              64          -6.394           6.939
              65           -18.9           6.371
              66           14.16           7.956
              67           25.12           6.914
              68          -17.73           6.637
              69          -7.078           6.194
              70          -12.08           7.394
              71           31.59           6.786
              72           -32.8           6.656
              73          -18.21           6.236
              74          -13.31            6.79
              75           51.33           6.833
              76           -29.3           6.703
              77          -24.18           6.423
              78           23.49           6.517
              79           87.01           7.343
              80          -23.25           6.682
              81          -24.83           6.087
              82          -13.36             6.7
              83           49.43           6.093
              84          -34.66           6.629
              85          -22.91           6.058
              86          -7.335           6.046
              87           42.46            6.06
              88          -31.59           6.153
              89          -14.93            6.28
              90           9.626           5.911
              91           54.82           6.482
              92          -39.47           6.016
              93           -32.3           6.792
              94           16.47           5.825
              95           78.28           7.115
              96          -35.98           6.622
              97          -19.24           6.325
              98          -2.654           7.967
              99           48.67           7.226
             100          -46.87           6.567
             101          -18.99            6.26
             102          -4.698           6.941
             103           24.79             6.7
             104          -42.93           6.807
             105          -18.92           6.814
             106           26.14           6.868
             107           64.77           7.138
             108          -19.35           6.451
             109          -12.76           6.779
             110           55.27           6.882
             111           107.2           7.729
             112          -18.28           6.456
             113             -18           5.916
             114          -10.68           6.455
             115           37.43           6.025
             116          -28.33           6.322
             117          -18.59            5.97
             118           -14.7           5.913
             119           33.05           6.117
             120          -23.61           6.142
             121          -8.089           6.208
             122           1.014           5.835
             123           37.83            6.65
             124          -19.47            5.86
             125          -3.219           7.572
             126           18.04            6.08
             127           103.1           8.327
APV                2              13               5              11
               0           54.67           28.61
               1          -58.36           23.81
               2          -31.55            22.4
               3          -36.46           22.63
               4          -132.2           8.862
               5          -81.35           7.051
               6          -6.867            8.12
               7           32.62           6.525
               8          -56.94            5.99
               9          -45.41           6.558
              10           23.81           6.574
              11            71.3           6.251
              12          -48.88           6.454
              13          -19.07           6.531
              14           58.23           6.393
              15           72.36            6.21
              16          -46.38           6.145
              17          -68.77           5.891
              18          -7.987           8.411
              19           36.54           6.208
              20          -73.68           6.044
              21          -65.26           6.002
              22           25.11            6.76
              23           49.53           5.957
              24          -58.53           5.998
              25          -38.41           6.339
              26            57.9           6.406
              27           71.31           5.964
              28          -41.52            6.01
              29          -22.83           6.428
              30           52.88           6.217
              31           83.44           6.058
              32          -76.22           6.038
              33          -47.84           6.209
              34          0.9793           6.886
              35           46.72           6.444
              36          -57.42           6.013
              37          -61.48           6.096
              38           37.92           6.767
              39           75.23            6.36
              40          -48.53           6.191
              41          -29.45           6.453
              42           42.47           6.916
              43           84.28           6.513
              44          -33.16           6.547
              45           -7.09           6.955
              46           42.19           6.221
              47           88.99           6.776
              48          -40.98           6.167
              49          -55.11           5.864
              50           1.863           7.739
              51           38.39           6.125
              52          -75.04           5.918
              53          -50.61           6.006
              54           22.51            6.62
              55            38.5           5.884
              56          -48.34               6
              57          -26.64            6.28
              58           39.04           6.342
              59           72.45           6.004
              60          -36.25           5.957
              61          -10.89           7.464
              62           53.72           5.899
              63           88.83           7.342
              64           -48.1           6.552
              65          -63.98           5.889
              66           9.653           11.41
              67            40.8            6.86
              68          -64.58           5.844
              69          -44.38           6.179
              70           12.11           7.279
              71           44.14           6.341
              72          -42.83            6.16
              73           -37.7           6.357
              74           36.59           6.636
              75           63.98           6.326
              76          -53.61           6.147
              77          -15.01           6.745
              78           65.39           6.412
              79           76.68           6.825
              80          -52.66           6.048
              81          -53.88           5.827
              82           16.03           6.599
              83           60.68           6.153
              84          -79.62            5.97
              85          -47.84           6.019
              86           16.13           6.413
              87           52.13           5.968
              88          -64.52           5.932
              89          -32.68           6.337
              90           36.35           6.205
              91           54.38           6.018
              92          -37.36           5.886
              93          -1.919           6.969
              94            55.7           6.061
              95           98.45             6.5
              96          -64.36           5.945
              97          -61.74           6.197
              98           10.92           8.082
              99           54.51           6.892
             100          -55.77           5.976
             101          -55.88           6.402
             102            16.3           6.825
             103           62.38           6.338
             104          -53.88           6.308
             105          -22.98           7.009
             106           42.12           6.651
             107           79.93           6.561
             108          -31.87           6.134
             109           2.978            6.85
             110           50.57           6.751
             111           101.3           7.135
             112          -53.41           6.004
             113          -57.94            5.79
             114           6.165           6.706
             115           40.46           6.021
             116          -68.11           5.812
             117          -48.52           5.952
             118           28.61           6.264
             119           60.19           5.835
             120          -40.95           5.978
             121          -18.23           6.291
             122            56.7           6.111
             123           81.08           6.196
             124           -43.8           5.824
             125           1.274           7.177
             126           54.53           6.076
             127           111.4            7.58
APV                2              13               5               5
               0           123.1           36.92
               1          -46.45           31.12
               2          0.5489           28.65
               3          -22.04           29.95
               4          -147.7           10.73
               5          -72.71           6.846
               6          -28.53           5.939
               7           1.317           4.751
               8          -84.23           4.287
               9          -25.72           4.673
              10           20.34           4.421
              11           38.91           4.636
              12          -60.55           4.523
