#Wed Jan 28 01:49:28 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               0               0
              92          -49.03           13.36
              93          -28.19           16.27
              94            38.1           9.745
              95           96.27           16.23
              96          -37.79           17.73
              97          -22.73           11.89
              98          -6.297           14.25
              99           53.74           16.75
             100          -67.09           16.12
             101          -47.17           10.11
             102          -20.87           12.36
             103           54.62           16.37
             104          -49.36           14.76
             105          -26.42           7.921
             106           21.58           13.09
             107            69.8           16.78
             108           -39.5           12.58
             109          -25.39           7.382
             110           30.54           16.19
             111           98.18           16.95
             112          -50.19           18.21
             113          -17.42           12.23
             114           -2.67           12.06
             115           45.14           11.39
             116          -57.28           16.68
             117          -25.96            10.4
             118          -9.883           8.198
             119           43.96           13.69
             120          -35.22           14.49
             121          -14.51           10.34
             122           25.74           8.718
             123           62.81           15.35
             124          -41.35           12.19
             125           2.883           20.92
             126            40.9           10.56
             127           131.3           16.24
APV                2              13               0               5
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           32.54           12.29
               8          -69.53           13.07
               9          -30.77           7.809
              10          0.1994           10.65
              11           51.18           13.07
              12          -32.55            11.3
